steps,currentTime,done,speed,reward,gap,fuel,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,84.066,0,0.003189896931871772,3.8204506645758e-05,-0.023278663320226097,30.0,527.8372802734375,-1136.20556640625,1391.6275634765625,0.0,0.0,0.0,1,14815,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6190999746322632,0.0146451061591506,0.0,-0.0,0,2046.821044418757,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1322,0.0
5,84.108,0,0.003218113910406828,3.854323806521042e-05,-0.02303487748888958,30.0,527.8372802734375,-1136.205322265625,1437.9049072265625,15.255001068115234,0.0,0.05570000410079956,1,14819,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6189161539077759,0.014824412763118744,0.0,-0.0,0,2046.821044418757,0.0,0.05637754127383232,-0.8885967880487442,-1.0,0.42283153533935547,0.232090026140213,-0.8780822157859802,1322,0.0
6,84.147,0,0.017140204086899757,0.00020528768292100026,-0.02303158817686147,29.999998092651367,527.8373413085938,-1136.205322265625,1508.5423583984375,28.485000610351562,0.0,0.22894999384880066,1,14823,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.618874430656433,0.014860114082694054,0.0,-0.0,0,2046.821044418757,0.0,0.10556601360440254,-0.5420322269201279,-1.0,0.36891353130340576,0.722009539604187,-0.5414992570877075,1322,0.0
7,84.186,0,0.0028166514821350574,3.3735289158507985e-05,-0.02290969526119321,29.99999237060547,527.8373413085938,-1136.2052001953125,1676.5931396484375,28.485000610351562,0.0,0.22894999384880066,1,14827,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6187390089035034,0.014939166605472565,0.0,-0.0,0,2046.821044418757,0.0,0.010564472526311874,-0.11871771514415741,-1.0,-0.7125115394592285,0.8819052577018738,-0.5017434358596802,1322,0.0
8,84.228,0,0.002655722899362445,3.180750054071809e-05,-0.02303487748888958,29.999975204467773,527.8372802734375,-1136.205322265625,2127.921142578125,2.8349997997283936,0.0,0.4406000077724457,1,14831,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.618930697441101,0.01466671284288168,0.0,-0.0,0,2046.821044418757,0.0,-0.08746245875954628,0.003310278058052063,-0.9732800051569939,-0.7352019548416138,0.2542249858379364,0.05566665902733803,1322,0.0
9,84.267,0,0.003080441150814295,3.689358525734396e-05,-0.023278663320226097,29.999954223632812,527.8372802734375,-1136.20556640625,2630.242919921875,-23.625,0.0,0.5016499757766724,1,14835,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6191188097000122,0.014397822320461273,0.0,-0.0,0,2046.821044418757,0.0,-0.14994625002145767,0.008420043624937534,-1.0,-0.4686284065246582,0.010645344853401184,-0.8238375186920166,1322,0.0
10,84.309,0,0.0030285210814327,3.627138389931406e-05,-0.023400556236121393,29.999923706054688,527.8372802734375,-1136.2056884765625,3245.802734375,-40.499996185302734,0.0,0.5041999816894531,1,14839,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6192983388900757,0.01415203046053648,0.0,-0.0,0,2046.821044418757,0.0,-0.1516182873165235,0.17002733889967203,-0.9925939431414008,-0.01254027895629406,0.33668187260627747,0.015429285354912281,1322,0.0
11,84.348,0,0.0025520450435578823,3.056482124913569e-05,-0.023400556236121393,29.999887466430664,527.8372802734375,-1136.2056884765625,3904.271484375,-23.80499839782715,0.0,0.6307500004768372,1,14843,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6193351745605469,0.014125744812190533,0.0,-0.0,0,2046.821044418757,0.0,-0.0881264436757192,0.2614435637369752,-1.0,0.4761887788772583,0.19045047461986542,-0.39937567710876465,1322,0.0
12,84.387,0,0.016832958906888962,0.00020160570991803136,-0.02315677040455784,29.999841690063477,527.8372802734375,-1136.2054443359375,4687.6884765625,0.22499999403953552,0.00011638027353910729,0.8438500165939331,1,14847,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6190983057022095,0.014417119324207306,0.0,-0.0,0,2046.821044418757,0.0,0.0008654590928927064,0.6877214098349214,-0.9540686830878258,0.6674392223358154,0.8880788683891296,0.09569024294614792,1322,0.0
13,84.429,0,0.011575368233025074,0.00013863919256254824,-0.022912984573221325,29.999771118164062,527.8372802734375,-1136.2052001953125,5711.16259765625,13.094999313354492,0.0,0.8753999471664429,1,14851,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6188368797302246,0.014671897515654564,0.0,-0.0,0,2046.821044418757,0.0,0.04847101087216288,0.7508478695526719,-1.0,0.3570416271686554,0.13151346147060394,-0.4017157554626465,1322,0.0
14,84.468,0,0.003380144713446498,4.048469937337804e-05,-0.02279109165754694,29.999685287475586,527.8372802734375,-1136.205078125,6797.98193359375,18.494998931884766,0.00012892392987851053,1.0,1,14855,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6187150478363037,0.014766114763915539,0.0,-0.0,0,2046.821044418757,0.0,0.06853656435851008,1.0,-0.9520498998463154,0.1504916399717331,0.6134577989578247,0.09989604353904724,1322,0.0
15,84.507,0,0.00258432375267148,3.095330048329568e-05,-0.022669198741651637,29.999588012695312,527.8372802734375,-1136.2049560546875,7797.78369140625,28.214998245239258,0.0,0.8148999810218811,1,14859,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6185903549194336,0.01488079596310854,0.0,-0.0,0,2046.821044418757,0.0,0.10443931783083826,0.6297496259212494,-1.0,0.2692706286907196,-0.7713549733161926,-0.9758415222167969,1322,0.0
16,84.549,0,0.0036024015862494707,4.3148033691953234e-05,-0.022425412910315124,29.999494552612305,527.8372802734375,-1136.2047119140625,8477.3818359375,52.784996032714844,0.0,0.0,1,14863,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.618404746055603,0.015056701377034187,0.0,-0.0,0,2046.821044418757,0.0,0.19550144637469202,0.7580957263708115,-1.0,0.6829659342765808,0.267387717962265,-0.9377143383026123,1322,0.0
17,84.588,0,0.0018202833598479629,2.1802357832571112e-05,-0.02254730582598338,29.999494552612305,527.8372802734375,-1136.204833984375,8207.44140625,43.20000076293945,0.0,0.0,1,14867,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6185002326965332,0.014881877228617668,0.0,-0.0,0,2046.821044418757,0.0,0.16009350458625704,1.0,-1.0,-0.2655595541000366,0.5841419100761414,-0.00149357202462852,1322,0.0
18,84.627,0,0.0024164090864360332,2.894301460885783e-05,-0.022303519994646866,29.999494552612305,527.8372802734375,-1136.20458984375,7948.9267578125,67.41000366210938,0.0,0.0,1,14871,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.6183147430419922,0.01507082860916853,0.0,-0.0,0,2046.821044418757,0.0,0.24957562575582415,1.0,-1.0,0.6711158752441406,0.8382503986358643,-0.6068425178527832,1322,0.0
19,84.669,0,0.15100763738155365,0.0018087350710770515,-0.022227865820528433,29.999494552612305,527.8386840820312,-1136.20458984375,5246.7236328125,72.54000091552734,0.0,0.0,2,14875,0.14996610581874847,0.012869196943938732,-0.012159646488726139,1.618138074874878,0.014976546168327332,0.0004178352246526629,-0.04393152520060539,0,2046.824133605056,0.0,0.26866165513638407,1.0,-1.0,0.14314521849155426,0.5520153045654297,-0.9496016502380371,1322,0.0
20,84.705,0,0.41778701543807983,0.005004173768815463,-0.022189335950937437,29.999494552612305,527.8507080078125,-1136.2052001953125,4522.2978515625,54.80999755859375,0.0,0.0,2,14879,0.41670939326286316,0.014701595529913902,-0.026136737316846848,1.6181635856628418,0.01438302081078291,0.006732570473104715,-0.0874510332942009,0,2046.8330579210306,0.0,0.20299806410912424,1.0,-1.0,-0.4924768805503845,0.5456697344779968,-0.501494288444519,1322,0.0
21,84.75,0,0.7838543653488159,0.00938941535981045,-0.0214797864496776,29.99947166442871,527.8751831054688,-1136.205810546875,3955.05810546875,29.204998016357422,0.0,1.0,2,14883,0.7814421057701111,-0.008078906685113907,-0.060914937406778336,1.6179920434951782,0.014003152959048748,0.016917839646339417,-0.07528698444366455,0,2046.8603457333375,0.0,0.10809297079686075,1.0,-1.0,-0.7117881774902344,0.05551067739725113,-0.0021598306484520435,1322,0.0
22,84.789,0,1.1151485443115234,0.013359703133434432,-0.019799513182775383,29.99941635131836,527.9131469726562,-1136.2061767578125,3899.19580078125,34.02000045776367,0.0,0.9395999908447266,2,14887,1.1147880554199219,-0.025684788823127747,-0.012003731913864613,1.6169636249542236,0.015026536770164967,-0.031145935878157616,-0.03715221583843231,0,2046.8981024547684,0.0,0.12596292758826166,0.879153698682785,-1.0,0.13402466475963593,-0.25176313519477844,-0.4402610957622528,1322,0.0
23,84.828,0,1.442393183708191,0.017280989659528314,-0.01922398502930652,29.999364852905273,527.9645385742188,-1136.2083740234375,3799.983154296875,9.674999237060547,0.0,0.8636000156402588,2,14891,1.4392211437225342,-0.027361858636140823,-0.09160895645618439,1.616533637046814,0.01369182113558054,0.005637420807033777,-0.003998091444373131,0,2046.9507902433106,0.0,0.03576867247465998,0.7272064238786697,-1.0,-0.676456868648529,-0.316556841135025,-0.5609885454177856,1322,0.0
24,84.87,0,1.782616376876831,0.021356154823253513,-0.019769648548951357,29.99930763244629,528.029052734375,-1136.21240234375,3764.1513671875,-6.930000305175781,0.0,1.0,2,14895,1.779799461364746,-0.015160239301621914,-0.09902102500200272,1.6168242692947388,0.012617099098861217,0.0021908560302108526,0.012417537160217762,0,2047.0187523418863,0.0,-0.025656275800429285,1.0,-1.0,-0.4606871008872986,0.7322404980659485,-0.13975518941879272,1322,0.0
25,84.909,0,2.086962938308716,0.02500314263282716,-0.019364324174429088,29.999250411987305,528.106689453125,-1136.2161865234375,3787.722412109375,9.989999771118164,0.0,1.0,2,14899,2.085031509399414,-0.0035673959646373987,-0.08969298005104065,1.61655855178833,0.01439937949180603,-0.020396489650011063,0.012756001204252243,0,2047.0942657847481,0.0,0.03693322802428156,1.0,-1.0,0.46942123770713806,0.21664774417877197,-0.9370002150535583,1322,0.0
26,84.948,0,2.382323980331421,0.028543671062810874,-0.018560322412582937,29.999195098876953,528.1962890625,-1136.22021484375,3775.2060546875,-1.6649999618530273,0.0,0.9083499908447266,2,14903,2.3793888092041016,0.0005424603004939854,-0.11822273582220078,1.6154237985610962,0.015000429004430771,-0.02353273518383503,0.007475408725440502,0,2047.183337323033,0.0,-0.006013945094309747,0.8166807591915131,-1.0,-0.3221037685871124,-0.3819150924682617,-0.70599365234375,1323,0.0
27,84.99,0,2.7003273963928223,0.03235341056672015,-0.018708172224299414,29.9991397857666,528.2980346679688,-1136.225830078125,3806.7041015625,10.170000076293945,0.0,1.0,2,14907,2.696488380432129,-0.0009251247975043952,-0.1439347118139267,1.614894151687622,0.013317130506038666,-0.014953196980059147,0.0016925306990742683,0,2047.2878547928121,0.0,0.0375456731999293,1.0,-1.0,0.32669711112976074,0.8240159153938293,-0.6799297332763672,1323,0.0
28,85.029,0,2.99586820602417,0.035896689600704655,-0.017934324172654673,29.999082565307617,528.4124145507812,-1136.231201171875,3850.265380859375,10.574999809265137,0.0,1.0,2,14911,2.993149995803833,-0.003364922944456339,-0.12754517793655396,1.613800287246704,0.014097128994762897,-0.03929866850376129,6.152767309686169e-05,0,2047.401468200027,0.0,0.03915042500011623,1.0,-1.0,0.012035638093948364,0.7349358797073364,-0.6436796188354492,1323,0.0
29,85.071,0,3.318351984024048,0.039765091757978176,-0.016614286421643296,29.999021530151367,528.5392456054688,-1136.2366943359375,3896.027099609375,0.8549999594688416,0.0,1.0,2,14915,3.314743995666504,-0.0064553688280284405,-0.1545650064945221,1.6120198965072632,0.014848118647933006,-0.03751681372523308,0.00013277317339088768,0,2047.533101860652,0.0,0.0032163120340555906,1.0,-0.9607140198349953,-0.2695058286190033,0.32060250639915466,0.08184579014778137,1323,0.0
30,85.11,0,3.6189610958099365,0.04336914212801567,-0.016134747005480586,29.99896240234375,528.6776733398438,-1136.24365234375,3938.418701171875,-0.7199999690055847,0.0,1.0,2,14919,3.61387038230896,-0.008548703975975513,-0.19169282913208008,1.6109596490859985,0.013383006677031517,-0.01937282085418701,0.0006533097475767136,0,2047.6690260578034,0.0,-0.0025953210424631834,1.0,-1.0,-0.04358724504709244,0.1557302325963974,-0.5615008473396301,1323,0.0
31,85.149,0,3.9199130535125732,0.04697729017752232,-0.015731589906899233,29.998905181884766,528.8283081054688,-1136.2513427734375,3983.84814453125,7.2900004386901855,0.0,1.0,2,14923,3.9153525829315186,-0.009400853887200356,-0.188798189163208,1.610196590423584,0.013460401445627213,-0.025963347405195236,0.0009521071915514767,0,2047.8185083503777,0.0,0.027029208140447736,1.0,-1.0,0.222183957695961,0.16843919456005096,-0.7087640762329102,1323,0.0
32,85.191,0,4.243803024291992,0.05086602103822732,-0.014047601393217686,29.99884033203125,528.991455078125,-1136.2584228515625,4037.985107421875,17.010000228881836,0.0,1.0,2,14927,4.240543842315674,-0.010561923496425152,-0.16595160961151123,1.6084587574005127,0.015524359419941902,-0.05736985802650452,0.0003369086771272123,0,2047.9903014328884,0.0,0.0628809214103967,1.0,-1.0,0.26888784766197205,0.8429204821586609,-0.49384593963623047,1323,0.0
33,85.23,0,4.542552947998047,0.054459901183889166,-0.011168651784180625,29.998779296875,529.1677856445312,-1136.2650146484375,4102.4306640625,8.460000038146973,0.0,1.0,2,14931,4.539339065551758,-0.015193303115665913,-0.17016711831092834,1.605764389038086,0.015844959765672684,-0.07113844901323318,-0.0034798462875187397,0,2048.16226613686,0.0,0.03137759049423039,1.0,-1.0,-0.23627495765686035,0.5158564448356628,-0.72090083360672,1323,0.0
